marca,modelo,titulo,valor,cidade,bairro,ano,km,link
Chevrolet,Onix Plus LT,Chevrolet Onix Plus LT 1.0 12V Flex Mec. 4P 2024,74990,Lauro de Freitas,Recreio Ipitanga,2024.0,62025.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-plus-lt-1-0-12v-flex-mec-4p-2024-1482721185
Chevrolet,Onix Hatch LT,Chevrolet Onix Hatch LT 1.0 12V TB Flex Mec. 4P 2025,75490,Salvador,Água de Meninos,2025.0,40366.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-lt-1-0-12v-tb-flex-mec-4p-2025-1482721092
Volkswagen,T-Cross Highline,Volkswagen T-Cross Highline 1.4 TSI Flex 16V 5P AUT 2025,146990,Salvador,São Cristóvão,2025.0,41655.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-highline-1-4-tsi-flex-16v-5p-aut-2025-1482720921
Chevrolet,Tracker,Chevrolet Tracker 1.0 Turbo 12V Flex Aut. (pcd) 2025,108990,Salvador,São Cristóvão,2025.0,46045.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-1-0-turbo-12v-flex-aut-pcd-2025-1482720774
Chevrolet,Onix Hatch LT,Chevrolet Onix Hatch LT 1.0 12V TB Flex Mec. 4P 2025,71390,Salvador,Paralela,2025.0,60082.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-lt-1-0-12v-tb-flex-mec-4p-2025-1482720762
Fiat,Toro Ranch,Fiat Toro Ranch 2.2 16V 4X4 TB Diesel Aut. 2025,169000,Salvador,IAPI,2025.0,6000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-ranch-2-2-16v-4x4-tb-diesel-aut-2025-1480807599
Hyundai,Creta Ultimate,Hyundai Creta Ultimate 1.6 TB 16V Aut. 2026,182000,Salvador,Stella Maris,2026.0,7530.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-ultimate-1-6-tb-16v-aut-2026-1482719062
Honda,Civic Sedan LXS,Honda Civic Sedan LXS 1.8/1.8 Flex 16V Mec. 4P 2015,65900,Salvador,Saboeiro,2015.0,100000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-sedan-lxs-1-8-1-8-flex-16v-mec-4p-2015-1469381751
Chevrolet,Onix Plus Premier,Chevrolet Onix Plus Premier 1.0 12V TB Flex Aut. 4P 2020,64900,Salvador,Saboeiro,2020.0,100000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-plus-premier-1-0-12v-tb-flex-aut-4p-2020-1473638917
Chevrolet,Onix Hatch LT,Chevrolet Onix Hatch LT 1.4 8V Flex Aut. 4P 2019,62900,Salvador,Saboeiro,2019.0,95000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-lt-1-4-8v-flex-aut-4p-2019-1465308221
Chery,Tiggo 7 Pro,Chery Tiggo 7 Pro 1.6 Turbo 16V Aut. 2023,133900,Salvador,Saboeiro,2023.0,22000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-7-pro-1-6-turbo-16v-aut-2023-1475636806
Ford,Ecosport Storm,Ford Ecosport Storm 2.0 4WD 16V Flex 5P Aut. 2020,76900,Salvador,Caminho das Árvores,2020.0,95000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-storm-2-0-4wd-16v-flex-5p-aut-2020-1482718305
Volkswagen,Voyage,Volkswagen Voyage 1.6 MSI Flex 16V 4P AUT 2022,66900,Salvador,Nazaré,2022.0,59000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-1-6-msi-flex-16v-4p-aut-2022-1464227871
Chevrolet,Corsa Super,Chevrolet Corsa Super 1.0 MPFI / 2P E 4P 1996,8000,Camaçari,Malícia (Abrantes),1996.0,2000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-corsa-super-1-0-mpfi-2p-e-4p-1996-1482718154
Fiat,Argo,Fiat Argo 1.0 6V Flex. 2024,66900,Salvador,Nazaré,2024.0,44000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-1-0-6v-flex-2024-1454478108
Volkswagen,Saveiro Cross,Volkswagen Saveiro Cross 1.6 T.flex 16V CD 2023,96900,Salvador,Nazaré,2023.0,42000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-saveiro-cross-1-6-t-flex-16v-cd-2023-1473830669
Toyota,RAV4,Toyota RAV4 2.0 Top 4X2 16V Aut. 2018,110000,Salvador,Matatu,2018.0,105000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-rav4-2-0-top-4x2-16v-aut-2018-1482717324
Fiat,Fastback Impetus,Fiat Fastback Impetus 1.0 200 T. Flex AUT 2025,119990,Salvador,Matatu,2025.0,15000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-fastback-impetus-1-0-200-t-flex-aut-2025-1481636101
Volkswagen,Kombi Standard,Volkswagen Kombi Standard 1.4 MI Total Flex 8V 2014,46000,Lauro de Freitas,Centro,2014.0,167000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-kombi-standard-1-4-mi-total-flex-8v-2014-1482717638
Spin,LT,Spin LT 1.8 Flex 2024 7 lugares automática único dono impecável,87900,Salvador,Nazaré,2024.0,45000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/spin-lt-1-8-flex-2024-7-lugares-automatica-unico-dono-impecavel-1453139019
Fiat,Mobi Like,Fiat Mobi Like 1.0 Fire Flex 5P. 2023,50900,Salvador,Nazaré,2023.0,52000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-like-1-0-fire-flex-5p-2023-1468620509
Volkswagen,Polo Track,Volkswagen Polo Track 1.0 Flex 12V 5P 2025,84090,Salvador,Paralela,2025.0,40261.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-track-1-0-flex-12v-5p-2025-1482717371
Fiat,Fiorino Endurance EVO,Fiat Fiorino Endurance EVO 1.4 Flex 8V 2P 2023,82900,Salvador,Nazaré,2023.0,65000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-fiorino-endurance-evo-1-4-flex-8v-2p-2023-1451715379
